district_id,repeater_rate_pct,trained_teachers_total,total_teachers,schools_with_playground,schools_with_boundary_wall,schools_with_computer
525,0.69,798,26324,1762,3792,969
506,0.74,1274,12920,953,1784,623
495,1.53,350,15963,1204,1699,586
502,1.3,288,14112,1557,2247,746
516,0.23,610,20941,1334,2220,806
496,2.27,213,12180,944,1588,533
512,0.54,183,12560,1119,1832,282
663,0.31,689,18523,3457,3918,754
658,0.1,15,12185,2247,2661,408
616,0.56,326,19930,4518,4028,581
657,0.01,56,19452,2462,2987,465
662,0.07,519,10186,2640,2391,456
639,0.08,25,11965,1975,2708,752
655,0,1,15072,1773,2787,601
608,0.04,12,4943,1112,1161,153
629,0.01,34,9344,989,1604,553
628,1.08,376,9148,1287,1458,659
618,0.2,456,17019,2649,3097,723
602,0.68,409,19401,3030,3341,685
653,0.74,27,14867,2431,2861,520
601,0.05,144,19528,3813,4060,496
627,0.02,761,12655,2499,2623,497
622,0.1,98,14700,2340,2515,368
652,0.38,194,16611,2997,2382,426
617,0.18,285,13110,2227,2327,316
614,0.36,335,19436,3607,2898,463
659,0,7,7544,1893,1624,284
667,0.09,80,15986,3338,3182,287
645,0.65,415,17744,3591,2914,461
671,0.09,299,20510,5043,3057,388
635,0.44,333,20110,3713,3695,483
674,0.08,290,16864,3642,3379,610
648,0.18,233,19038,3924,4257,918
661,3.13,86,12379,1835,2127,283
625,0.17,30,11541,1466,1798,471
640,0.69,109,10111,1945,2002,236
623,1.58,429,11957,2921,2490,339
606,0.32,20,9649,1612,1917,184
641,0.52,189,11842,1938,1911,239
642,0.01,139,19282,3543,4289,1061
636,0.71,224,9235,2015,1839,301
638,0.1,451,13677,1660,2086,486
647,0.11,135,7874,1063,1824,290
650,0.05,98,4487,1007,1193,180
612,0.18,184,10087,1846,1752,199
620,0.3,153,6276,1012,1494,218
626,1.12,386,16346,2673,2573,431
660,0.04,15,15452,1990,2203,304
644,0.28,37,7287,1783,1573,254
603,0.2,2796,29538,4048,4090,632
613,0.89,452,17337,3200,2642,469
624,0.35,836,17561,2647,2711,605
604,0.05,200,15006,2190,2061,291
673,0.38,227,13463,1500,1911,297
609,0.19,1154,13757,2492,2383,330
669,0.21,167,4994,1058,1194,115
611,0.23,300,7946,1580,1393,96
631,0.17,266,18879,2893,2228,535
670,0.05,85,9800,2042,2146,189
615,0.46,109,11537,2579,1870,306
665,0.21,70,7066,1754,1575,160
632,0.25,157,19892,2687,2383,603
646,0.26,467,15606,2488,2385,401
621,0.67,74,19760,3354,1884,491
607,0.59,283,25081,3026,3415,376
654,0,16,9506,1675,1538,272
610,0.12,238,18817,2991,1860,295
637,0.55,114,23212,2600,3503,1741
630,0.09,137,21380,4014,3920,550
619,0.03,123,9325,1013,1610,312
675,0.04,1692,20383,1511,2014,555
656,0,176,12772,2062,2162,478
672,0.07,638,9368,1972,2745,301
643,0.89,92,8308,1343,1853,270
94,0.07,6226,16027,1349,1454,216
96,0.51,3396,20308,1439,1835,130
103,0.35,828,2676,208,195,48
104,0.35,2356,12909,992,1075,158
89,0.09,433,18644,1572,1939,127
106,0.19,1609,10297,720,937,106
70,1.06,3052,13404,823,1209,194
86,0.16,895,9133,497,734,85
97,1.84,4515,13716,760,1409,185
84,0.25,3559,13696,563,1084,160
88,2.37,3899,8387,538,664,99
99,1.54,1659,10632,538,631,145
78,0.5,3265,17932,1014,1465,158
91,0.65,324,19353,1585,1683,107
80,0.03,3195,14774,713,1147,191
105,1.16,612,17630,667,1236,250
101,0.44,1537,17936,850,1594,254
107,0.04,2620,15425,988,1362,237
100,0.3,4855,16837,1234,1216,191
74,0.43,3,12867,456,1025,104
85,0.19,2031,6861,290,568,58
75,2.9,2135,12480,737,1194,148
73,2.68,1921,8342,709,1056,132
90,0.94,1265,6567,301,735,139
87,0.05,1240,5116,266,399,86
102,1.54,616,3018,165,319,67
92,0.53,4773,15609,968,1627,358
95,0.04,4304,22321,1240,2446,503
76,0.34,1653,14378,541,1280,188
77,0,2286,8320,335,781,78
83,0.46,1913,7676,517,778,66
98,0.14,4438,15558,947,1476,328
82,0.15,676,6501,303,610,93
72,0.45,1901,12337,667,1349,208
79,0.7,5305,16037,1187,1637,134
93,0.02,2265,11551,727,939,194
81,0.15,2786,8851,747,723,112
71,0,1043,3771,142,311,48
31,0,358,820,28,107,56
35,0.01,2,1209,102,133,89
20,0.1,184,1183,93,153,37
29,0.01,5,3529,176,254,135
27,0.83,193,1536,94,146,70
34,1.22,10,1149,119,69,42
36,0,182,1988,127,152,78
21,0.25,83,1631,100,135,66
33,0.75,0,739,43,70,38
19,0.59,0,151,3,20,8
24,0,0,664,46,56,34
18,0.34,92,1575,225,290,75
32,0.36,28,774,42,75,40
23,0.67,107,661,18,69,19
26,0.86,42,819,96,98,49
17,0.74,2,397,34,45,34
25,3.29,22,430,36,38,16
28,0.04,2,1131,108,83,39
30,0,42,569,48,65,18
420,2,14,2529,100,165,112
423,1.1,6,2590,75,158,78
419,0.17,78,3642,107,204,120
425,0.02,4,2717,129,236,66
424,0,9,1925,81,203,81
415,0.7,33,7158,340,293,274
417,0.24,152,4200,188,180,174
422,0.08,9,1989,91,180,80
418,4.06,19,1093,39,57,37
416,0.63,7,1035,28,100,30
421,1.55,10,1442,85,120,60
392,0.5,24,5552,399,121,152
393,0.2,12,2490,111,70,59
389,0.62,121,4613,264,131,134
387,0.17,10,3102,231,144,134
394,0.11,66,4927,337,231,181
391,0.81,23,6316,413,303,220
390,0.4,163,6306,497,319,212
395,0.24,0,3314,150,43,109
388,0.13,235,2316,200,50,68
413,0.43,4,1588,254,164,73
410,0,52,1442,189,191,97
407,0.08,498,5207,486,542,271
408,0.21,117,2140,335,235,110
414,0,404,1081,97,118,74
412,0.35,174,3044,276,191,145
411,0,1127,2467,246,129,63
600,0.05,2835,11272,531,250,181
598,0.04,1097,5194,531,65,76
593,2.81,1703,5090,404,119,78
596,0.8,635,4220,228,106,97
597,0.15,1493,6527,412,130,89
595,2.18,439,5586,355,98,82
594,0.75,504,5673,377,80,101
599,1.36,842,3051,164,88,54
404,4.59,938,7241,736,202,157
396,3.64,118,2364,502,88,57
401,5.77,157,2833,312,39,71
406,3.97,274,4948,302,150,118
398,3.33,981,10402,740,989,438
399,4.15,126,2247,496,97,62
403,2.26,187,2488,92,49,34
402,2.67,130,2246,147,51,43
58,0.67,1412,10242,1933,429,218
46,0.09,1274,17314,3028,489,202
49,0.14,807,9849,1854,813,190
40,0.74,959,6510,1016,284,121
38,0.07,4466,16627,1439,622,278
63,0.07,1081,8300,592,595,169
44,0.03,1536,8214,1129,584,144
61,0.01,2208,8730,912,470,168
62,0.11,2560,22482,3025,1024,304
65,0.67,1359,13266,2067,1016,242
59,0.08,3103,15184,2022,862,347
45,0.01,539,8532,1714,546,165
67,0.59,4377,8866,1383,969,257
47,0.32,1726,9619,1443,1134,290
53,0.13,1604,10656,812,1151,266
50,0.22,1842,8898,1323,934,235
56,0.47,3839,10914,2021,1501,256
48,0.64,591,4708,227,198,122
41,0.43,1958,14338,740,584,265
57,0.07,617,11955,423,342,174
51,0.22,352,12427,387,358,143
37,0.04,282,11935,1502,367,108
43,0.62,695,5718,1042,453,83
68,0.15,191,7548,1201,407,122
692,1.68,40,8710,908,354,361
695,2.86,1057,15570,1552,781,299
696,3.05,2130,19076,3336,1123,328
707,1.89,1549,18183,1403,957,266
691,0.97,770,11254,853,1044,221
698,1.12,1495,28249,1517,1787,450
699,0.79,7586,44239,1996,2198,668
690,0.62,1128,21668,1651,2381,465
700,1.15,1716,31127,1374,1552,583
694,0.39,973,29243,1236,2419,788
689,0.61,7525,24827,1811,2347,467
705,0.26,4805,19350,891,3179,366
693,0.74,3245,26396,1057,1708,759
697,0.78,2839,27038,782,2030,986
704,1.5,2355,38519,2683,1754,706
703,0.74,7158,47003,5571,3315,823
234,0.86,1363,6110,1523,316,131
245,2,249,10358,635,428,218
230,2.06,3717,6805,734,408,144
241,1.67,773,4380,421,299,109
235,0.99,2329,13245,1686,755,306
231,0.49,2286,8275,1342,1072,225
236,0.29,347,6816,501,304,82
250,0.83,2275,5521,555,371,109
233,0.58,2044,8002,956,492,157
232,0.9,2461,11482,1151,1041,390
229,0.32,3622,12322,724,1183,338
249,0.58,2702,16623,1325,1518,685
243,2.06,699,2749,260,169,62
237,3.79,1590,7093,1134,438,168
246,1.4,1755,8058,581,612,196
247,0.31,3300,13998,1103,1369,417
239,0.49,248,4238,503,360,52
251,1.45,1655,5565,611,307,117
252,0.51,833,4075,550,263,127
242,0.46,1291,4121,681,354,106
240,2.27,1175,3732,415,257,76
248,3.92,1070,5399,370,434,177
440,0.03,2651,9502,666,1810,281
450,0.09,1088,4699,272,724,163
464,0.35,2151,7979,502,1448,264
458,0.24,4509,20398,1847,3737,641
439,0,2744,16956,1500,2947,659
442,0,771,11466,781,1548,343
453,0,2933,10611,647,1443,405
443,0.01,3375,18079,913,1961,668
445,0,2349,9262,890,1312,245
437,0,1370,9370,578,1343,391
460,0.06,2708,7193,472,871,254
455,0,2606,16520,949,1423,505
462,0.15,1763,12722,1013,1220,324
447,0.05,4181,21863,1499,3225,555
446,0,1082,5660,423,911,159
452,0.22,2309,8233,444,1614,233
441,0,1138,3609,243,593,149
438,0.15,2102,11053,553,1820,320
461,0.39,819,5434,246,672,161
451,0.06,1830,10953,538,1552,291
463,0.14,732,8144,298,1248,259
456,0.03,1675,10219,412,1609,360
457,0.05,2536,5441,333,826,136
125,0.64,1926,6269,832,920,212
134,0.27,3229,8609,1591,1034,218
121,0.33,4166,8627,1829,1886,170
124,0.51,3629,8687,1188,1338,245
120,0.5,2892,13566,1303,1840,315
131,0.54,3293,12163,1610,1890,311
118,0.2,1185,11410,944,1324,359
130,0.05,5550,18322,1832,1921,652
126,0.08,3163,7901,1317,1425,217
117,0.54,3396,6980,805,1096,282
112,0.96,3697,7266,809,1005,152
116,0.75,618,3001,142,531,80
128,0.52,58,1685,276,353,63
127,1.37,2681,5126,544,465,123
114,0.11,1440,2362,190,549,121
132,0.76,618,2271,135,411,57
109,0,2631,6137,1048,1227,146
113,0.49,1820,5788,351,834,122
110,0.26,5854,10397,876,1474,187
111,0.03,2290,6638,870,634,134
133,0.27,3440,7155,1092,861,106
343,0.6,89,4408,901,624,170
329,0.03,48,11896,3007,1650,376
307,0.44,466,11820,2328,1546,541
318,0.95,311,21096,3206,2091,1185
313,0.13,167,6294,1509,634,236
344,0.46,723,12683,2165,1902,437
317,0.46,336,11185,1799,947,377
347,0,0,8853,1164,1318,209
310,0.34,1453,13498,1873,1762,467
332,4.37,415,8672,1188,1045,328
337,1.42,966,14973,3627,1361,483
312,0.01,498,8068,1725,644,168
338,0.3,1311,18238,2584,1953,528
336,0.01,681,16374,3349,2558,702
349,0.08,510,3461,1298,572,131
341,0.12,284,6798,1548,1134,210
345,0.81,531,8537,1068,981,309
331,0,357,6875,1399,947,309
328,0,364,8854,2066,1136,302
335,1.61,109,11983,2116,768,359
348,0.84,266,15115,2201,1430,685
342,0.14,214,7633,1341,933,386
314,0.23,638,12111,1994,1584,580
323,3.81,556,6561,937,745,192
315,2.81,547,15490,3182,1818,592
321,0.05,377,17470,3015,2958,1805
305,1.06,400,8792,1559,683,249
334,2.36,1041,13306,2194,1537,440
350,3.7,628,12114,1803,1181,352
308,1.39,938,21989,2056,2289,1446
339,0,1178,10994,1447,1404,411
333,2.44,790,11217,2341,1435,478
306,1.03,1716,10563,3004,1684,306
319,0.92,176,4214,618,654,201
320,1.48,191,9863,2055,1251,367
324,0.01,151,7625,1062,1400,242
322,0.53,528,15791,1961,1676,679
330,0.02,666,8263,1995,832,278
316,0.68,249,4860,932,709,140
327,0.49,476,6976,1313,853,136
311,0.34,1480,14426,3642,1636,428
340,0.23,618,10517,2321,1402,271
304,0.93,738,13144,1944,1382,306
303,0.21,433,6389,1126,493,234
302,1.9,334,5147,873,972,167
309,1.81,644,4307,676,432,206
301,4.05,88,5133,670,913,121
346,0.02,461,6692,851,733,317
300,2.65,208,4204,925,486,314
156,0.05,5711,13397,1564,1941,1565
145,0.01,15741,19361,2031,2680,1854
164,0.01,5092,7523,731,937,774
158,0.03,6948,10893,1174,1268,1156
167,0,6758,9622,1255,1373,1109
152,0.04,3317,9413,819,1001,888
141,0.13,8761,28401,2671,2898,2582
169,0.04,6164,8947,839,1070,1007
166,0.26,6089,16583,1738,1906,1842
154,0.03,2630,7441,736,1016,833
165,0.02,1961,3434,360,440,327
155,0,3718,9003,987,1208,1049
142,0.04,4235,8032,911,1016,959
147,0.06,8356,12448,1021,1261,1238
143,0.02,6164,10633,1083,1297,1029
157,0.08,8041,10557,1385,1503,1043
163,0.14,6473,9598,1009,1447,1034
151,0.28,9257,12932,1430,1643,1115
172,0.27,5663,15259,1329,1596,1062
161,0.06,2694,3491,416,712,383
146,1.18,4410,8949,851,1172,1008
168,0.49,6038,25624,2054,2295,1935
171,1.4,1414,2138,292,385,196
162,0.02,4114,6254,570,807,704
173,0.09,5435,9392,788,1161,786
170,0.26,2752,4387,638,857,460
144,0,5800,7289,1173,1173,834
148,0.02,2022,3481,302,348,323
153,0,4443,7490,700,843,690
159,0.02,5022,6785,970,1151,786
160,0.01,3282,6182,646,759,730
138,0,181,328,16,39,22
137,0.03,176,835,44,72,47
371,0.62,357,10600,1703,1778,739
359,0.67,289,12948,1836,1609,1360
363,0,872,23349,2994,2846,1422
357,0.36,703,15758,1766,2000,886
352,0.29,1275,11610,1023,1239,794
385,0.01,1006,7817,763,990,609
353,0,1149,17851,2074,2283,1044
384,0,434,8489,1285,1267,679
369,0,576,30493,3363,3144,1967
355,0,706,7924,1168,1117,558
361,0,292,8946,1280,1284,594
360,0,1782,8605,1218,1564,727
358,0,1109,14570,1588,1979,1033
386,0,1166,16855,2876,2703,1212
370,0,345,21661,2591,2189,1178
362,0,459,7501,910,927,655
375,0,388,11686,1366,1294,843
364,0,872,12041,1820,1523,852
372,0,1654,32606,3899,3174,2432
383,0,685,34269,3511,2957,2581
376,0,2904,53549,5862,5062,5474
351,0,1412,28298,4478,4105,4805
356,0.01,853,21071,2309,1580,1396
366,0.13,734,17856,2081,1924,1393
373,0,1066,10228,1457,979,984
382,0.01,5147,28220,4263,4161,2543
380,0,5496,19106,3132,2770,2600
378,0.11,1740,12259,3010,2986,1656
381,0,817,6732,1664,1661,911
365,0,1622,21769,2812,2859,2242
379,0.17,5310,16435,2589,2496,1743
374,0,548,16460,2742,2446,1242
12,0,1839,16650,1842,1835,907
14,0.09,998,15064,1834,1800,644
13,0,1473,19466,2590,3323,1532
6,0.05,3056,32079,3795,3626,2172
15,0.02,2922,19885,3122,2631,1668
8,0.01,2901,23972,2862,2924,1485
7,0.02,2856,24723,2809,2805,1465
10,0,2783,20745,2655,2309,1162
11,0,2246,17869,2491,2989,1181
16,0.26,2380,17753,2045,2895,1200
9,0,3432,23644,2293,2518,1370
4,0,1726,21170,1917,3569,1270
5,0.03,2414,23880,2796,3730,1729
256,0,10705,10715,1297,1351,673
253,0.02,5412,10068,1304,1454,565
268,1.37,2721,15480,1772,1781,866
258,0.07,8931,10653,1472,1412,477
276,0.34,7697,10735,1220,1378,481
273,0.63,765,7606,873,1053,361
267,1.08,1272,5480,679,755,404
266,1.06,2003,9008,905,967,677
281,0.07,1699,4288,766,866,369
270,0.12,1793,8162,974,1171,1050
257,0.95,1505,11703,1191,1470,759
263,1.08,6484,8660,1175,1522,397
265,0.13,7539,10465,1238,1579,610
278,0.5,2956,9376,1472,1998,430
280,1.56,2187,4705,809,658,436
262,0.29,3901,6970,1238,1461,466
279,0.52,3926,8526,1119,1948,532
272,0.44,4434,8706,1099,1732,775
255,0.16,2090,5971,712,1192,431
274,1.76,3494,7936,1253,1793,572
269,0,2593,9476,1544,2071,557
264,0,3997,7932,1388,1235,712
271,0.63,1083,2785,461,491,295
275,1.26,4080,14257,1611,2390,1074
260,0.06,912,4194,506,791,292
261,0.27,2732,6662,941,1349,451
277,0.35,2672,5456,741,1188,451
139,0.14,1676,6529,363,713,363
140,0.02,2020,4853,339,451,246
299,0,456,888,10,24,41
287,0,715,10690,504,592,678
286,0,4956,19595,1023,1060,1503
296,0.21,304,5705,284,269,356
290,0.33,1460,23387,995,1225,1498
291,0.08,2877,30502,1242,1490,1703
292,0.3,1992,19424,895,1128,1164
295,0.05,4653,22013,1011,1166,1212
284,0.29,1906,23508,1136,1259,1323
285,0.57,792,7736,437,451,581
289,0.29,1211,15708,1024,993,1111
283,0,3116,14031,788,932,961
293,0.16,362,10065,651,719,867
288,0.03,1122,18010,975,1079,1173
294,0.08,1765,23511,1096,1297,1390
552,0.37,6355,29108,1944,2025,1545
531,0,3935,31452,1051,1410,1233
537,0,6920,27965,2099,2061,1722
559,1.54,8672,28934,2207,2592,1714
534,0.23,5355,13631,1372,1324,946
558,0.07,7070,18804,1737,1958,1181
560,0.03,9594,24747,2144,2029,2494
547,0.03,9389,25908,1850,1661,1336
543,0.04,4791,15221,1044,1080,806
536,0,8265,22887,2012,2006,1442
550,0.41,1718,6421,541,549,507
532,0.04,9543,38264,2641,2855,1924
535,0.01,7027,16219,1473,1384,859
539,0.05,3804,9026,794,779,599
555,0.04,7413,21540,1581,1547,1162
544,0.09,4395,11358,959,1112,824
533,0.08,6843,20107,1462,1647,1187
542,0.03,4737,12278,1081,1316,771
553,0,4005,9770,841,1085,787
549,0.13,6311,18502,1508,1698,978
545,0,6119,14002,1520,1447,961
548,0.39,4783,11405,1231,1190,824
541,0.02,7410,24541,1459,1713,1107
551,0,4467,10396,602,724,569
561,0.57,5883,14465,1405,1207,848
546,0,4533,10764,1300,1093,720
554,0.57,5472,13678,1650,1424,787
556,0.01,9039,24374,2409,2046,1217
538,0.01,3358,16327,1043,1172,1002
470,0,69,500,20,31,32
468,0,46,497,27,29,32
467,0,237,2037,122,156,159
1,0.02,24,540,22,43,26
562,0,2435,20109,2297,2026,897
581,0,2767,17581,2021,1911,861
570,0,2414,22328,2700,3005,1460
576,0,2917,19770,1932,2191,1146
564,0.01,245,25803,1986,3232,2696
584,0.01,1430,31383,2952,3881,2602
574,0,3529,25208,2501,2838,1164
579,0,6205,23611,2898,3152,1296
571,0,2795,18739,2555,2621,800
