district_id,state_name,overall_literacy,female_literacy,male_literacy,total_enrollment,govt_enrollment,private_enrollment,school_age_population,primary_pupil_teacher_ratio,upper_primary_pupil_teacher_ratio,total_schools,schools_with_water,schools_with_electricity,schools_with_girls_toilet,schools_with_boys_toilet,schools_with_road_connectivity,pct_sc_population,pct_st_population,dropout_rate_pct,pct_govt_enrollment,pct_private_enrollment,pct_schools_road_connected,pct_schools_electricity,pct_schools_water,pct_schools_girls_toilet,girl_dropout_rate,boy_dropout_rate,dropout_gender_gap,literacy_gender_gap,toilet_gender_gap,total_teachers
513,RAJASTHAN,74.72,61.15,87.88,347288,107306,237466,214951,242,77,3012,3012,2425,3010,2978,2546,16.88,1.95,0.63,30.9,68.4,84.5,80.5,100,99.9,0.51,0.73,-0.22,26.73,32,22884
494,RAJASTHAN,71.68,56.78,85.08,671048,300623,363984,432430,796,119,5269,4505,3072,5268,5205,4230,17.77,7.87,0.76,44.8,54.2,80.3,58.3,85.5,100,0.67,0.84,-0.17,28.3,63,35860
498,RAJASTHAN,71.16,54.63,85.7,457541,199382,254638,323154,533,107,3267,3002,1904,3227,3152,2533,21.87,2.12,0.93,43.6,55.7,77.5,58.3,91.9,98.8,0.84,1.01,-0.17,31.07,75,23770
505,RAJASTHAN,70.14,55.45,82.53,282662,144034,135225,162479,483,55,1811,1769,749,1811,1804,1564,20.36,4.86,0.71,51,47.8,86.4,41.4,97.7,100,0.62,0.79,-0.17,27.08,7,11464
515,RAJASTHAN,67.34,49.18,82.96,280956,130840,147923,179356,476,102,2242,2078,879,2241,2223,1709,24.31,22.28,0.83,46.6,52.6,76.2,39.2,92.7,100,0.88,0.78,0.1,33.78,18,12537
521,RAJASTHAN,66.19,47.8,82.72,239929,102316,126496,149291,180,28,2032,1963,1260,2023,1979,1615,20.87,21.4,1.35,42.6,52.7,79.5,62,96.6,99.6,1.45,1.27,0.18,34.92,44,14098
504,RAJASTHAN,69.17,52.33,84.54,311127,142484,166952,191176,378,79,2624,2550,1131,2616,2558,2166,21.68,26.51,1.13,45.8,53.7,82.5,43.1,97.2,99.7,0.96,1.29,-0.32,32.21,58,15632
509,RAJASTHAN,76.44,64.63,87.27,1201598,337899,843382,696382,972,190,9113,8939,6190,9095,8941,7924,15.14,7.97,0.74,28.1,70.2,87,67.9,98.1,99.8,0.69,0.78,-0.09,22.64,154,71009
522,RAJASTHAN,72.98,58.76,86.66,455099,167832,276431,282734,370,91,3753,3703,2322,3739,3694,3122,15.64,2.81,0.51,36.9,60.7,83.2,61.9,98.7,99.6,0.44,0.57,-0.13,27.9,45,27853
517,RAJASTHAN,64.08,48.63,78.9,607084,271889,316061,374543,667,122,5026,4975,2623,4989,4809,3886,21.16,0.32,0.87,44.8,52.1,77.3,52.2,99,99.3,0.73,0.99,-0.27,30.27,180,31674
514,RAJASTHAN,67.09,52.57,80.46,690345,295170,383841,451275,986,102,5772,5677,3046,5763,5648,4445,16.49,3.23,0.79,42.8,55.6,77,52.8,98.4,99.8,0.66,0.91,-0.24,27.89,115,36067
510,RAJASTHAN,58.04,40.23,73.09,140125,93069,42329,98543,488,47,1714,1672,633,1704,1669,1053,14.8,6.33,0.59,66.4,30.2,61.4,36.9,97.5,99.4,0.59,0.58,0.01,32.86,35,6033
497,RAJASTHAN,57.49,41.03,72.32,553913,408651,127240,375398,2060,238,6020,5848,2079,6001,5932,4084,16.76,6.77,0.89,73.8,23,67.8,34.5,97.1,99.7,0.79,0.98,-0.19,31.29,69,20241
511,RAJASTHAN,55.58,38.73,71.83,355573,212954,141082,237489,709,106,2862,2815,1468,2859,2810,2090,19.53,9.77,0.72,59.9,39.7,73,51.3,98.4,99.9,0.58,0.83,-0.25,33.1,49,14891
523,RAJASTHAN,56.02,40.12,71.09,178076,112076,65542,129979,339,40,1326,1283,883,1319,1249,1102,19.48,28.22,1.18,62.9,36.8,83.1,66.6,96.8,99.5,0.97,1.34,-0.37,30.97,70,8191
518,RAJASTHAN,63.23,48.35,78.16,350914,195984,152887,224607,333,58,2915,2895,2086,2908,2832,2361,19.54,7.1,1.15,55.8,43.6,81,71.6,99.3,99.8,1.04,1.24,-0.2,29.81,76,19550
493,RAJASTHAN,70.46,56.42,83.93,440529,221433,212192,280416,397,68,3300,3300,2450,3287,3127,2735,18.51,2.46,0.92,50.3,48.2,82.9,74.2,100,99.6,0.82,1.01,-0.19,27.51,160,24321
524,RAJASTHAN,62.46,46.01,78.27,236742,111596,111375,153379,125,20,2572,2536,1578,2537,2473,2046,20.26,12.54,1.23,47.1,47,79.5,61.4,98.6,98.6,1.07,1.38,-0.31,32.26,64,16555
501,RAJASTHAN,62.31,47,76.52,181398,104858,74313,117986,179,41,1974,1932,1133,1972,1938,1507,18.97,20.57,1.15,57.8,41,76.3,57.4,97.9,99.9,1.06,1.23,-0.18,29.52,34,11863
499,RAJASTHAN,62.71,47.93,77.16,405821,261185,139610,270071,597,104,4214,4120,2284,4214,4073,3390,16.94,9.52,1.17,64.4,34.4,80.4,54.2,97.8,100,0.97,1.34,-0.37,29.23,141,21351
520,RAJASTHAN,63.93,48.44,79.52,212737,151984,60408,132141,302,73,2270,2266,1418,2269,2228,1872,12.81,13.9,1.31,71.4,28.4,82.5,62.5,99.8,100,1.2,1.4,-0.2,31.08,41,11448
525,RAJASTHAN,62.74,49.1,75.91,524431,380159,142896,373407,1385,131,5285,5031,2113,5248,5152,3563,6.14,49.71,0.9,72.5,27.2,67.4,40,95.2,99.3,0.79,0.99,-0.2,26.81,96,26324
506,RAJASTHAN,60.78,46.98,74.66,277130,218326,57962,181413,788,153,2980,2820,1010,2951,2919,2463,3.76,70.83,0.7,78.8,20.9,82.7,33.9,94.6,99,0.62,0.77,-0.15,27.68,32,12920
495,RAJASTHAN,57.2,43.47,70.8,358606,282917,73977,241681,1076,89,3638,3495,1043,3638,3610,2864,4.46,76.38,1.77,78.9,20.6,78.7,28.7,96.1,100,1.79,1.76,0.04,27.33,28,15963
502,RAJASTHAN,62.51,46.98,77.74,235553,152456,81162,159859,302,50,2638,2575,1460,2637,2568,2119,16.2,13.05,1.81,64.7,34.5,80.3,55.3,97.6,100,1.49,2.1,-0.61,30.76,69,14112
516,RAJASTHAN,77.48,66.32,87.63,306517,107626,191379,187475,162,27,2414,2402,1726,2414,2385,2198,20.78,9.42,0.59,35.1,62.4,91.1,71.5,99.5,100,0.48,0.68,-0.2,21.31,29,20941
496,RAJASTHAN,67.38,52.48,81.23,222103,126256,90676,137248,308,47,2270,1982,956,2263,2223,1512,18.09,22.64,1.08,56.8,40.8,66.6,42.1,87.3,99.7,0.89,1.25,-0.36,28.75,40,12180
512,RAJASTHAN,62.13,47.06,76.47,242529,155692,83544,156185,341,47,2291,2209,1013,2291,2263,1588,17.26,12.91,0.88,64.2,34.4,69.3,44.2,96.4,100,0.55,1.17,-0.62,29.41,28,12560
663,UTTAR PRADESH,72.03,63.3,79.77,562658,182823,359599,387754,1056,390,4136,4039,2777,4116,4089,4069,22.05,0.03,0.69,32.5,63.9,98.4,67.1,97.7,99.5,0.54,0.83,-0.29,16.47,27,18523
658,UTTAR PRADESH,70.11,60,79.11,405045,151472,251767,490104,1026,264,2831,2830,2019,2816,2763,2770,13.55,0.01,0.47,37.4,62.2,97.8,71.3,100,99.5,0.4,0.53,-0.13,19.11,53,12185
616,UTTAR PRADESH,70.43,61.45,78.7,665816,213419,434603,427328,1508,471,5054,5039,2431,5021,4957,5015,21.38,0.08,0.85,32.1,65.3,99.2,48.1,99.7,99.3,0.78,0.93,-0.15,17.25,64,19930
657,UTTAR PRADESH,58.67,49.63,66.83,596595,173125,385935,596139,1215,305,3606,3605,1679,3582,3546,3566,15.33,0.01,0.78,29,64.7,98.9,46.6,100,99.3,0.76,0.81,-0.05,17.2,36,19452
