district_id,state_name,institutional_births_pct,full_immunization_pct,stunted_pct,wasted_pct,underweight_pct,child_anaemia_pct,pregnant_women_anaemia_pct,diarrhoea_prevalence_pct,ari_prevalence_pct,antenatal_care_4visits_pct,postnatal_care_pct,household_electricity_pct,household_drinking_water_pct,household_sanitation_pct,health_insurance_pct,womens_literacy_health_survey
10,ANDHRA PRADESH,97.4,51.9,22.6,8.7,24.7,62.6,,7.9,2.9,73.4,90.1,99.3,98.6,78.4,67.6,62.8
11,ANDHRA PRADESH,97.0,65.3,29.2,17.2,27.8,67.5,,8.9,3.9,73.0,95.5,99.1,95.6,81.8,72.3,70.5
16,ANDHRA PRADESH,99.4,83.0,34.4,14.1,26.7,60.6,57.6,5.9,2.3,82.8,92.3,99.8,99.9,85.4,73.3,63.8
9,ANDHRA PRADESH,88.5,67.0,50.5,16.7,46.3,70.8,67.8,4.5,4.2,74.3,87.8,99.9,97.9,73.5,73.3,57.0
4,ANDHRA PRADESH,94.7,81.8,36.0,19.3,40.6,55.8,54.9,2.5,2.6,66.6,89.1,99.6,98.8,71.3,73.2,63.6
5,ANDHRA PRADESH,97.1,66.6,27.1,14.8,27.9,54.9,52.7,4.8,3.1,65.3,93.8,99.7,98.5,74.6,70.7,69.3
31,ARUNACHAL PRADESH,84.2,67.5,30.4,7.1,9.0,89.6,57.4,14.8,6.2,37.6,49.6,99.7,99.8,81.7,33.5,59.1
35,ARUNACHAL PRADESH,93.6,56.2,24.2,23.2,13.4,66.6,18.2,10.0,2.5,27.6,38.9,97.5,99.8,88.9,38.3,73.7
20,ARUNACHAL PRADESH,76.0,60.8,35.7,15.8,14.2,51.7,13.1,7.3,2.4,29.1,53.6,86.3,93.6,75.6,25.1,62.2
29,ARUNACHAL PRADESH,88.0,60.7,29.7,9.0,15.6,53.4,18.6,4.6,1.9,39.3,53.2,98.7,92.9,75.7,26.9,78.2
34,ARUNACHAL PRADESH,77.0,68.5,36.8,12.2,19.2,60.4,37.9,5.9,1.3,32.1,56.7,87.0,94.7,80.9,21.5,64.3
33,ARUNACHAL PRADESH,76.0,61.4,30.4,12.5,12.0,51.0,22.4,6.2,1.5,34.0,56.4,99.5,99.8,91.8,34.6,74.4
18,ARUNACHAL PRADESH,75.1,70.9,26.3,16.3,25.0,65.3,60.6,1.3,0.8,46.9,69.7,95.2,81.8,82.3,40.5,77.6
27,ARUNACHAL PRADESH,89.8,66.5,30.7,11.5,8.1,52.4,22.1,6.4,4.2,39.1,67.7,97.8,98.1,82.8,24.5,76.8
19,ARUNACHAL PRADESH,85.5,90.7,16.9,18.1,16.0,88.6,39.0,3.9,0.7,40.4,66.2,79.2,100.0,95.0,28.7,77.8
26,ARUNACHAL PRADESH,90.1,73.8,14.3,7.6,9.7,51.5,19.6,2.8,1.0,48.6,58.6,84.4,99.5,89.9,36.8,81.6
17,ARUNACHAL PRADESH,78.0,93.0,23.6,14.3,16.0,57.1,19.7,9.3,7.1,32.3,55.8,96.4,86.6,86.8,17.5,67.9
21,ARUNACHAL PRADESH,90.8,48.8,24.6,8.6,10.3,51.5,32.8,8.5,2.0,34.3,55.7,97.3,97.3,83.9,30.5,83.8
22,ARUNACHAL PRADESH,73.5,63.6,28.8,9.4,14.5,62.0,2.0,6.0,1.8,18.3,34.9,99.7,99.8,89.3,24.0,55.3
23,ARUNACHAL PRADESH,69.2,71.4,29.2,15.1,13.9,62.4,,4.7,5.6,44.1,62.3,99.2,99.8,78.3,13.4,76.5
24,ARUNACHAL PRADESH,90.2,74.0,24.5,12.7,12.9,52.5,33.2,7.5,1.7,39.6,66.2,98.9,96.9,83.7,31.9,73.4
25,ARUNACHAL PRADESH,64.5,52.7,15.8,20.6,13.8,38.4,19.1,0.5,0.8,39.6,57.1,97.4,62.5,83.5,23.8,71.9
28,ARUNACHAL PRADESH,63.6,67.2,28.7,12.4,17.7,59.2,52.6,1.7,0.2,35.4,51.2,96.5,93.5,75.1,30.9,67.1
30,ARUNACHAL PRADESH,81.1,60.3,21.3,12.1,8.8,24.9,15.4,2.7,0.9,31.1,56.0,99.6,96.3,91.2,26.1,87.4
32,ARUNACHAL PRADESH,70.2,66.3,38.6,13.8,16.0,48.4,24.1,7.6,3.3,35.7,49.8,98.8,93.8,86.7,30.8,75.1
36,ARUNACHAL PRADESH,84.6,55.4,24.5,15.1,16.2,45.6,16.8,3.1,2.2,30.4,61.4,88.2,99.1,87.7,26.6,77.9
58,ASSAM,81.9,51.1,34.6,20.5,35.2,74.7,59.5,3.4,3.8,36.9,68.3,93.9,87.3,72.2,50.2,73.7
49,ASSAM,92.3,70.3,38.9,24.3,35.4,60.7,49.2,7.8,2.1,44.1,73.5,89.6,90.7,75.3,71.1,74.1
38,ASSAM,87.6,54.6,29.8,19.5,26.2,63.5,47.6,1.7,1.5,43.6,70.5,88.9,98.1,63.7,58.9,74.8
61,ASSAM,88.3,73.4,43.2,16.1,30.5,53.3,48.0,5.4,5.9,42.0,67.9,89.5,94.6,62.3,62.5,78.7
59,ASSAM,96.2,69.0,38.5,18.2,34.4,69.3,42.3,3.7,3.9,51.7,67.7,97.2,81.2,74.2,67.0,83.9
45,ASSAM,87.3,89.7,37.2,18.3,25.7,73.1,61.7,0.9,3.0,62.2,72.8,95.0,95.3,70.8,66.8,81.5
67,ASSAM,82.6,75.0,32.8,21.5,32.2,66.4,71.7,4.9,2.0,63.1,73.6,95.7,96.8,66.7,60.0,70.5
47,ASSAM,93.1,83.8,27.3,20.6,32.0,66.4,47.2,5.8,2.5,75.6,82.1,94.4,98.1,75.3,58.8,76.6
50,ASSAM,90.4,72.4,26.3,19.2,25.5,75.1,76.7,8.0,4.1,65.7,73.5,96.4,93.7,73.1,69.3,75.1
48,ASSAM,89.5,63.6,30.6,23.6,21.7,73.1,43.3,7.0,2.7,46.9,73.8,95.9,50.2,83.8,61.9,87.7
41,ASSAM,79.2,70.4,28.7,30.7,38.2,61.8,44.0,4.2,2.1,32.7,57.3,81.7,43.8,57.6,57.9,77.2
57,ASSAM,76.4,75.1,29.1,48.0,52.9,64.1,41.9,7.6,2.3,42.8,63.9,87.1,62.3,61.5,64.4,80.7
51,ASSAM,83.0,68.6,42.9,22.2,42.4,59.5,58.7,5.1,4.9,43.1,68.8,91.2,41.2,60.0,53.6,82.2
40,ASSAM,84.5,67.9,46.2,20.2,35.3,77.2,51.2,4.4,1.6,33.9,57.0,97.0,95.3,72.5,57.6,75.8
43,ASSAM,83.7,71.1,42.7,19.5,39.7,70.4,54.1,6.3,1.6,56.5,59.7,97.8,92.1,77.1,61.5,71.5
54,ASSAM,85.0,63.6,22.6,14.8,19.7,72.9,66.5,5.0,1.5,46.9,61.4,94.8,92.1,68.7,47.0,79.6
55,ASSAM,89.1,53.6,25.4,18.2,25.0,80.4,56.4,5.2,1.3,68.9,75.6,99.2,87.2,65.2,45.5,86.0
63,ASSAM,91.8,65.5,27.5,15.4,26.7,71.0,53.2,3.6,2.2,55.9,73.8,94.7,99.5,68.1,52.5,83.9
37,ASSAM,89.9,70.5,41.2,17.0,34.0,78.6,65.3,5.8,0.8,56.0,65.0,98.1,89.8,68.9,69.0,74.8
44,ASSAM,84.4,57.1,42.0,27.0,33.1,66.8,51.6,2.1,2.3,37.5,53.2,89.5,99.7,67.9,53.7,75.6
68,ASSAM,86.2,38.3,33.8,21.3,32.5,77.6,63.9,3.2,2.3,49.8,53.1,95.5,82.3,73.8,70.6,70.0
39,ASSAM,84.3,66.2,42.7,27.1,41.0,79.8,45.1,3.7,2.0,46.5,56.5,91.1,76.2,76.6,68.4,69.2
42,ASSAM,88.2,74.0,39.0,23.5,34.8,69.7,61.6,9.8,2.2,64.5,70.5,91.7,96.4,75.9,64.9,71.9
46,ASSAM,64.2,71.6,48.5,21.5,37.8,73.1,69.7,9.8,1.7,37.6,48.4,92.5,96.7,61.8,59.4,69.5
52,ASSAM,82.1,55.5,39.3,12.7,28.4,56.8,51.4,4.4,2.4,51.3,63.9,96.3,99.9,63.1,67.4,83.2
53,ASSAM,96.5,69.2,38.7,15.5,33.2,74.1,56.4,6.3,3.0,67.0,81.4,95.1,85.9,80.4,60.1,85.1
56,ASSAM,74.9,64.3,31.6,17.2,28.2,67.5,42.1,2.2,2.2,63.9,56.9,97.0,79.6,75.2,54.1,78.8
60,ASSAM,90.3,78.6,35.4,14.1,22.2,73.0,,3.6,3.0,72.2,73.5,93.5,98.6,65.6,60.8,83.4
62,ASSAM,83.7,58.2,38.9,19.4,32.4,68.6,62.4,8.7,2.8,59.4,62.0,94.5,96.1,66.1,59.4,78.4
64,ASSAM,95.3,77.6,26.1,21.1,25.9,67.5,54.3,5.1,0.4,80.9,73.8,97.0,92.7,82.3,60.7,86.6
65,ASSAM,83.5,70.9,36.7,13.1,21.9,69.4,47.3,4.3,2.4,45.5,63.5,88.2,82.9,72.2,66.9,76.9
66,ASSAM,71.7,65.8,38.9,18.2,27.9,69.6,37.6,5.4,3.9,35.3,62.6,79.5,98.2,59.0,68.2,63.5
69,ASSAM,72.5,47.9,40.9,23.2,31.1,79.0,38.8,6.8,2.9,46.7,55.7,94.7,44.7,76.7,63.1,73.9
94,BIHAR,79.5,62.1,43.5,13.2,30.3,61.6,61.4,22.1,6.6,25.4,57.3,93.5,99.7,43.3,20.0,52.5
96,BIHAR,61.5,68.3,49.1,16.8,37.9,61.0,61.1,13.4,4.7,21.7,43.7,94.8,99.9,48.3,19.4,50.2
103,BIHAR,74.3,62.9,34.4,35.4,42.2,73.1,37.3,8.7,5.2,25.3,61.1,97.6,100.0,57.9,18.1,52.5
104,BIHAR,64.4,66.6,54.2,16.2,40.8,70.0,59.7,26.6,3.4,20.3,51.1,93.1,99.7,50.7,20.7,51.7
89,BIHAR,73.7,74.1,43.3,17.1,36.0,71.0,68.0,30.2,4.4,34.9,58.9,98.6,100.0,38.2,19.2,53.2
106,BIHAR,80.4,73.6,42.3,25.8,45.0,63.6,56.1,39.3,5.0,30.9,60.7,97.3,99.7,50.7,14.2,42.1
70,BIHAR,66.2,61.6,49.9,23.9,47.8,75.8,70.5,16.3,6.0,25.8,46.4,96.2,100.0,32.2,19.5,43.7
86,BIHAR,54.6,67.3,38.8,23.9,41.1,67.5,68.4,9.1,1.8,17.1,40.7,95.8,100.0,52.4,8.1,48.0
97,BIHAR,68.9,62.7,43.5,25.8,47.1,68.0,74.6,12.4,2.7,11.1,41.0,92.4,99.6,35.6,10.2,47.5
84,BIHAR,66.9,73.7,43.9,23.5,48.1,65.6,61.0,10.6,2.1,15.3,41.7,92.0,99.2,44.6,8.4,49.7
88,BIHAR,75.0,72.0,46.3,20.6,43.5,67.7,69.0,13.6,1.6,20.9,49.5,97.0,99.3,34.6,9.5,47.6
99,BIHAR,70.4,72.2,47.8,20.5,42.7,69.3,61.8,8.8,2.0,11.7,38.5,97.2,100.0,40.5,12.8,43.1
78,BIHAR,69.9,66.3,45.4,19.3,39.2,68.9,52.5,14.3,3.8,24.9,50.5,97.2,99.8,48.7,25.3,49.4
91,BIHAR,72.5,74.9,42.6,19.9,34.7,64.6,61.7,14.6,4.3,28.2,55.9,96.6,99.9,55.2,13.2,63.0
80,BIHAR,85.9,75.8,34.2,21.5,29.2,56.1,54.0,6.1,5.9,27.9,53.9,96.2,99.9,60.1,12.7,63.3
105,BIHAR,86.4,76.1,36.7,18.2,30.8,63.9,58.0,15.8,7.4,30.3,63.9,95.3,99.8,47.7,8.2,70.9
101,BIHAR,73.0,72.0,39.7,28.8,45.0,69.8,59.1,15.9,1.6,30.7,54.1,93.6,99.7,37.2,9.4,65.6
107,BIHAR,81.6,71.0,38.3,19.6,38.4,77.1,66.8,15.0,3.9,24.5,57.4,96.5,99.2,52.6,13.5,62.4
100,BIHAR,83.4,71.4,44.0,21.3,42.8,67.2,69.7,10.6,4.5,23.5,52.1,95.7,98.6,48.8,19.0,54.3
74,BIHAR,86.0,65.8,37.8,21.0,35.6,74.5,58.7,11.9,3.1,21.6,58.6,96.2,99.1,62.2,13.2,62.3
85,BIHAR,74.2,64.7,34.8,25.3,36.4,67.1,62.9,13.9,1.6,17.4,54.2,94.5,98.8,65.0,15.6,51.8
75,BIHAR,77.2,66.8,40.0,21.2,40.4,78.7,63.7,10.9,1.1,27.6,54.0,94.5,98.0,60.9,16.3,65.6
73,BIHAR,79.8,88.1,46.7,26.9,45.8,77.8,68.6,6.9,2.3,31.7,72.3,96.2,96.3,38.2,13.6,55.7
90,BIHAR,93.2,73.4,35.5,26.7,39.5,74.3,72.9,14.5,2.6,36.8,80.7,98.4,97.7,62.8,15.2,69.5
87,BIHAR,75.8,68.9,42.7,25.6,45.1,77.2,67.8,9.7,1.3,28.0,66.7,98.0,96.6,51.6,15.1,57.9
102,BIHAR,89.2,82.8,53.6,16.3,37.6,80.1,64.2,9.1,6.8,28.4,77.1,97.3,98.4,54.2,9.7,55.0
92,BIHAR,80.3,75.2,42.6,27.8,46.7,80.3,61.7,12.4,5.3,29.3,77.5,98.9,98.9,52.5,12.8,56.1
95,BIHAR,89.1,56.6,34.5,27.5,39.6,65.4,63.7,9.3,0.7,17.9,59.0,99.0,98.8,61.0,10.2,67.6
76,BIHAR,86.9,61.9,40.7,31.3,44.0,67.7,68.3,11.8,1.4,33.5,56.1,97.9,99.7,45.9,9.6,64.1
77,BIHAR,89.5,75.0,39.6,33.2,45.3,68.3,55.1,10.4,3.7,27.4,66.9,98.5,99.8,52.4,11.4,68.1
83,BIHAR,83.3,88.9,44.1,27.3,47.2,71.4,62.4,3.1,4.2,25.6,81.6,96.7,98.0,59.1,18.1,66.0
98,BIHAR,89.1,86.8,40.0,31.8,48.2,70.3,51.0,3.6,3.1,34.2,85.0,98.5,99.6,69.0,17.2,76.5
72,BIHAR,77.5,89.7,41.2,32.9,48.7,68.4,53.1,7.1,2.5,29.3,71.5,97.7,100.0,47.1,15.4,67.6
79,BIHAR,76.6,85.0,47.4,24.3,43.5,76.7,64.4,5.1,4.1,25.1,72.5,97.9,99.2,44.4,9.7,59.4
93,BIHAR,79.9,74.5,49.4,18.2,37.3,73.3,74.3,3.4,2.8,31.6,74.1,97.4,99.3,47.9,8.1,62.1
81,BIHAR,73.4,66.4,43.0,19.4,37.5,81.9,60.6,2.1,1.9,37.9,66.7,97.9,90.5,37.6,14.3,48.7
82,BIHAR,89.1,70.3,41.3,36.6,51.7,61.9,72.1,11.2,3.4,17.4,77.7,99.3,99.8,45.5,13.2,63.2
71,BIHAR,79.2,84.2,45.6,36.8,52.9,65.8,70.4,13.4,5.0,34.5,70.1,97.4,99.9,43.4,15.6,62.5
108,CHANDIGARH,96.9,80.9,25.3,8.4,20.6,54.6,,4.3,0.3,78.7,90.6,99.9,99.1,85.0,32.2,83.0
125,CHHATTISGARH,80.8,87.1,32.1,18.1,31.8,56.3,54.1,1.2,0.4,70.0,78.2,97.6,87.6,73.3,62.8,77.1
121,CHHATTISGARH,85.6,94.2,35.8,17.0,33.6,54.1,54.5,1.3,0.0,48.6,82.7,98.2,88.8,72.8,80.6,75.1
129,CHHATTISGARH,87.7,90.9,39.1,14.9,28.0,62.7,54.2,1.9,0.8,55.4,89.6,99.0,97.5,66.3,66.3,76.0
124,CHHATTISGARH,75.4,68.4,34.7,14.7,27.9,63.6,54.6,5.3,0.3,49.3,76.7,97.9,82.2,73.3,60.6,77.6
120,CHHATTISGARH,86.2,85.5,32.5,24.6,30.2,74.1,60.0,6.2,2.1,62.8,85.9,99.5,97.2,78.8,74.0,77.0
122,CHHATTISGARH,91.7,95.4,37.9,12.0,27.3,67.5,35.6,0.0,0.0,58.9,93.0,99.5,97.9,80.3,72.1,67.8
131,CHHATTISGARH,95.5,91.0,27.6,19.4,31.0,80.5,,2.9,0.0,76.1,90.5,99.3,98.8,79.2,80.8,82.4
126,CHHATTISGARH,92.9,82.1,36.8,14.0,25.8,75.8,56.5,5.1,2.4,65.8,89.1,98.4,98.8,84.2,76.2,72.6
117,CHHATTISGARH,94.3,80.6,30.5,17.9,28.9,67.3,,1.4,3.1,70.4,84.3,99.9,99.1,89.8,86.8,83.7
135,CHHATTISGARH,94.1,89.5,24.8,24.5,36.1,62.3,33.4,3.2,2.8,77.9,87.4,99.4,98.7,80.5,84.8,78.5
128,CHHATTISGARH,74.2,81.7,43.7,21.5,39.5,86.8,57.2,4.6,1.6,59.1,76.9,90.1,90.5,52.8,83.1,53.8
114,CHHATTISGARH,63.6,78.4,53.8,20.0,46.1,77.2,60.3,4.5,2.8,56.9,64.9,86.8,94.3,30.6,73.5,46.3
109,CHHATTISGARH,97.4,85.2,33.6,15.1,36.0,68.3,48.6,1.3,1.2,81.5,90.8,99.7,99.5,83.8,79.5,84.7
110,CHHATTISGARH,78.1,77.3,40.9,19.4,34.1,67.8,56.2,4.7,3.0,49.5,72.6,99.2,94.8,78.9,66.1,75.0
111,CHHATTISGARH,78.9,76.1,35.1,23.0,38.8,50.1,65.5,1.1,0.5,52.1,78.6,97.9,84.4,57.3,62.3,66.8
112,CHHATTISGARH,63.5,57.3,48.1,20.4,45.2,80.7,79.0,18.5,5.3,55.1,69.2,96.8,94.1,61.0,69.3,54.6
113,CHHATTISGARH,95.0,93.4,38.4,16.4,27.6,61.8,49.2,1.3,0.0,54.6,91.5,99.7,98.8,80.5,63.4,74.1
115,CHHATTISGARH,79.4,52.5,25.7,24.0,28.0,78.1,41.4,5.1,0.8,46.9,75.7,98.6,93.6,80.5,60.4,74.3
116,CHHATTISGARH,90.5,77.6,45.6,19.4,45.8,89.9,63.0,2.4,1.0,68.2,84.9,95.9,95.1,60.5,82.2,50.3
118,CHHATTISGARH,96.7,82.7,38.9,16.9,27.7,57.1,41.2,2.0,0.0,69.9,94.2,99.6,98.5,89.5,67.0,84.6
119,CHHATTISGARH,87.6,83.4,28.9,21.9,22.1,73.9,55.3,1.6,4.8,57.8,86.3,98.7,96.8,81.0,79.8,72.1
123,CHHATTISGARH,78.7,70.1,37.6,22.8,42.2,76.6,87.6,10.9,4.4,64.1,79.4,97.8,98.8,79.5,80.6,56.1
127,CHHATTISGARH,69.8,79.7,30.1,17.7,30.6,62.0,50.3,1.2,0.0,67.3,74.4,99.7,98.0,80.7,68.0,68.6
130,CHHATTISGARH,90.7,74.2,32.2,21.7,32.3,74.6,37.1,3.4,3.8,65.6,88.4,99.5,99.7,84.0,76.9,81.3
132,CHHATTISGARH,81.2,73.3,41.8,21.2,37.4,91.4,65.8,4.9,1.8,74.0,80.6,98.3,96.0,35.5,78.1,40.5
133,CHHATTISGARH,85.9,78.7,27.6,19.3,32.3,51.1,55.4,2.5,0.0,48.9,83.0,98.7,83.4,75.4,75.7,68.3
134,CHHATTISGARH,85.3,84.6,29.4,17.5,30.6,51.4,46.4,2.6,0.3,57.7,83.4,99.3,96.4,75.8,65.1,73.7
138,DADRA AND NAGAR HAVELI & DAMAN AND DIU,95.7,92.9,33.9,17.4,28.5,62.8,43.3,1.2,0.5,90.7,93.0,100.0,99.7,89.7,64.0,90.8
137,DADRA AND NAGAR HAVELI & DAMAN AND DIU,97.4,78.3,30.0,25.2,29.3,82.5,,4.8,0.5,70.5,89.5,99.5,96.0,67.1,32.9,85.9
136,DADRA AND NAGAR HAVELI & DAMAN AND DIU,96.3,100.0,42.4,20.9,42.1,74.8,62.1,2.1,0.3,90.9,92.2,99.7,94.8,63.1,58.8,72.8
139,GOA,99.6,78.6,24.2,17.7,25.8,55.2,,3.6,1.5,91.3,93.1,100.0,98.1,87.7,64.8,92.4
140,GOA,100.0,,28.3,21.4,21.0,50.0,,2.5,0.0,96.0,99.5,100.0,99.0,88.2,67.7,93.8
156,GUJARAT,97.4,70.2,37.5,20.2,33.4,68.6,43.1,3.2,0.5,84.2,93.9,99.2,96.8,85.8,34.3,75.6
145,GUJARAT,92.9,43.5,39.0,25.5,44.1,79.0,68.6,7.7,0.0,56.1,86.1,91.1,93.6,53.9,41.0,63.7
164,GUJARAT,98.6,81.0,50.5,20.9,42.3,76.2,60.1,6.8,0.5,79.8,93.6,98.3,99.4,73.1,50.2,71.1
158,GUJARAT,97.3,79.6,31.0,28.2,41.4,86.0,62.9,14.6,0.5,56.6,79.7,97.7,97.0,72.1,40.7,75.1
152,GUJARAT,97.8,77.7,38.1,30.6,44.6,81.2,57.4,15.0,0.4,71.0,88.2,97.8,99.7,84.6,29.7,81.8
165,GUJARAT,100.0,82.9,18.2,21.8,25.5,77.9,54.9,5.6,0.8,92.1,97.6,99.8,96.2,85.7,42.1,84.3
142,GUJARAT,90.1,60.1,35.3,23.7,30.6,72.0,,3.5,0.3,92.6,87.0,99.6,97.8,73.3,47.7,77.2
143,GUJARAT,96.0,77.0,38.4,28.6,46.6,78.4,,11.7,0.0,64.2,90.3,98.0,99.7,82.1,36.2,75.9
151,GUJARAT,92.5,66.2,55.3,27.8,53.0,87.2,69.4,14.0,3.7,70.9,87.2,89.3,91.0,35.9,40.3,56.1
161,GUJARAT,81.7,82.8,47.2,23.0,52.8,93.2,75.6,7.5,1.0,83.4,87.2,92.7,96.8,54.6,51.1,67.3
146,GUJARAT,91.1,80.0,40.9,24.5,45.5,81.0,77.2,11.2,0.4,65.7,78.8,98.2,97.2,77.7,37.4,74.0
171,GUJARAT,74.5,91.3,37.6,40.9,53.1,82.4,66.8,5.1,2.7,90.2,80.1,95.9,91.2,71.7,44.3,68.9
162,GUJARAT,99.3,95.0,36.8,29.0,43.6,75.3,,6.6,3.9,94.7,98.2,98.7,97.4,80.1,42.0,84.1
173,GUJARAT,96.5,91.1,37.8,23.2,34.8,87.6,71.0,4.9,0.6,92.5,95.0,98.6,98.0,85.3,40.6,82.9
168,GUJARAT,97.7,92.8,36.1,26.0,32.5,83.6,58.7,3.1,0.0,93.4,96.7,99.3,98.9,82.0,31.6,84.2
170,GUJARAT,92.9,97.5,41.7,36.6,51.8,80.7,72.0,8.1,1.6,91.0,90.0,97.6,99.0,70.2,42.3,72.0
141,GUJARAT,94.5,65.2,35.5,17.5,34.0,72.0,70.1,1.8,1.0,77.8,90.0,99.5,98.7,86.4,36.2,81.5
144,GUJARAT,92.2,77.0,47.1,29.0,47.2,89.5,82.6,16.6,1.8,73.8,87.6,96.5,98.5,56.3,43.9,71.9
147,GUJARAT,94.2,74.3,32.6,29.6,39.5,71.5,56.2,11.1,1.8,70.9,87.0,96.9,95.1,72.9,32.2,74.2
148,GUJARAT,93.5,65.1,32.2,26.0,32.3,75.5,48.5,5.4,0.6,82.7,85.4,99.3,99.2,72.0,38.0,71.8
149,GUJARAT,85.7,81.7,48.6,28.4,48.1,87.7,72.1,11.3,2.7,81.2,91.1,95.3,97.4,53.0,40.0,53.2
150,GUJARAT,94.8,73.3,30.2,26.1,36.2,66.7,49.1,9.1,0.0,76.6,90.1,98.7,93.9,73.4,33.5,66.1
153,GUJARAT,87.1,69.9,44.4,18.5,30.3,68.9,57.7,9.9,0.7,80.7,90.8,99.5,98.2,74.3,46.6,73.1
154,GUJARAT,96.5,78.4,28.4,23.8,28.9,75.0,,4.0,2.1,73.8,92.4,98.9,99.7,86.6,38.6,83.1
155,GUJARAT,97.4,93.5,37.3,17.3,26.4,74.7,57.3,7.5,1.5,72.5,84.1,99.3,97.0,81.7,47.3,82.8
157,GUJARAT,95.2,69.0,37.3,30.9,39.5,85.1,72.9,14.1,1.5,61.2,85.1,96.9,97.7,63.3,32.2,70.9
159,GUJARAT,93.0,80.0,43.4,26.2,49.0,85.9,56.5,14.4,0.9,76.6,90.9,95.2,94.8,44.4,46.0,70.9
160,GUJARAT,94.8,64.2,32.9,25.2,32.3,75.3,50.1,3.7,0.9,75.1,89.9,99.9,98.3,80.1,34.4,82.4
163,GUJARAT,88.4,95.4,47.1,35.7,51.9,91.0,74.0,13.7,0.9,88.7,88.0,95.5,91.0,58.9,34.0,71.7
166,GUJARAT,99.3,84.9,38.9,17.6,37.0,77.0,,4.3,1.2,93.5,98.1,99.6,99.5,85.4,45.1,84.7
167,GUJARAT,89.4,88.5,37.0,33.1,41.0,81.1,49.4,14.0,0.5,73.2,86.9,95.3,90.7,61.0,49.3,74.5
169,GUJARAT,85.6,62.5,39.2,27.1,41.8,81.0,60.8,8.6,2.9,57.5,78.4,99.4,96.9,63.8,50.4,75.1
172,GUJARAT,95.9,84.9,42.3,20.1,39.9,86.4,65.9,11.8,0.7,65.9,90.7,97.3,99.5,85.6,41.7,84.6
189,HARYANA,97.0,85.1,21.8,12.0,19.3,53.1,,3.2,0.8,76.9,95.3,99.5,99.2,82.6,19.9,87.9
174,HARYANA,97.8,79.3,24.1,10.9,13.7,64.2,33.8,5.6,5.8,57.4,86.9,99.6,99.3,87.2,19.0,88.9
195,HARYANA,94.8,82.9,27.7,12.1,23.1,72.9,62.2,7.2,6.6,66.4,88.3,99.8,100.0,83.5,20.6,87.1
185,HARYANA,98.4,69.8,24.9,12.8,22.5,73.7,46.3,7.7,7.7,59.8,95.3,99.6,99.9,82.6,19.2,83.9
183,HARYANA,98.2,74.3,29.9,20.7,29.9,61.4,43.2,4.5,1.6,68.8,95.3,100.0,98.5,89.7,29.1,74.0
184,HARYANA,99.0,88.9,29.2,9.8,20.5,78.3,53.2,4.4,5.1,84.7,97.5,99.2,99.9,83.5,24.6,84.5
190,HARYANA,97.1,80.6,25.1,9.9,18.9,73.4,69.0,8.2,4.7,49.2,92.8,99.6,99.9,79.3,26.5,85.9
194,HARYANA,99.7,83.0,23.6,9.2,12.7,68.7,61.0,4.3,4.0,64.1,94.5,99.3,97.2,86.7,22.4,89.1
182,HARYANA,98.7,77.5,25.5,8.8,22.9,68.9,62.7,5.1,0.7,49.6,96.4,100.0,96.2,88.5,23.7,83.6
178,HARYANA,97.9,90.7,24.6,16.0,26.6,59.3,59.0,3.6,0.6,60.1,96.9,99.8,99.8,87.3,29.4,73.2
193,HARYANA,99.3,,25.0,12.6,23.4,70.1,,5.2,0.9,61.9,97.4,99.9,99.3,81.9,26.6,73.1
